,State,Model Name,Mean_Similarity,Count_Similarity,rank
2095,Puerto Rico,FH_UMich_RidgeTfReg,-0.020406779661016946,59,40.0
1875,Ohio,FH_Google_Harvard_CPF,0.11354038461538461,52,40.0
2678,West Virginia,FH_USACE_ERDC_SEIR,0.14413333333333334,18,40.0
289,California,SIkJaun1_hyper7_smooth7,0.21033870967741936,31,40.0
1822,Northern Mariana Islands,FH_CU_select,-0.01862923076923077,65,40.0
1810,North Dakota,UMich_RidgeTfReg,0.12697857142857144,14,40.0
632,Guam,SIkJaun1_hyper7_smooth7,0.0062290322580645105,31,40.0
584,Georgia,SIkJaun1_window_noval,0.30560645161290323,31,40.0
2207,South Dakota,FH_COVIDhub_4_week_ensemble,0.10773076923076921,13,40.0
473,District of Columbia,FH_RobertWalraven_ESG,0.10295945945945947,74,40.0
2705,Wisconsin,FH_JCB_PRM,0.007835294117647058,17,40.0
2153,Rhode Island,UMich_RidgeTfReg,0.02489285714285716,14,40.0
1709,New York,SIkJaun1_hyper7,0.12468064516129032,31,40.0
2166,South Carolina,FH_Covid19Sim_Simulator,0.17838846153846152,52,40.0
518,Florida,FH_MUNI_ARIMA,0.19227586206896555,29,40.0
1600,New Jersey,FH_RobertWalraven_ESG,-0.04573648648648649,74,40.0
375,Connecticut,FH_RobertWalraven_ESG,-0.02283918918918919,74,40.0
430,Delaware,FH_USACE_ERDC_SEIR,0.024622222222222212,18,40.0
79,Alaska,FH_OliverWyman_Navigator,0.066368,50,40.0
2480,Vermont,FH_OliverWyman_Navigator,0.03481200000000001,50,40.0
2784,Wyoming,UMich_RidgeTfReg,0.09653571428571427,14,40.0
2628,Washington,FH_UMich_RidgeTfReg,0.006162711864406788,59,40.0
2035,Pennsylvania,FH_MIT_ISOLAT_Mixtures,0.03900256410256409,39,40.0
299,Colorado,FH_CU_nochange,-0.00651929824561403,57,40.0
651,Hawaii,FH_IEM_MED_CovidProject,0.03191923076923078,52,40.0
1976,Oregon,FH_JCB_PRM,0.07021176470588235,17,40.0
1643,New Mexico,FH_MIT_ISOLAT_Mixtures,0.13631794871794872,39,40.0
1539,New Hampshire,FH_JHU_UNC_GAS_StatMechPool,0.06338367346938775,49,40.0
33,Alabama,FH_SigSci_TS,0.10213636363636364,11,41.0
2552,Virginia,FH_Covid19Sim_Simulator,0.04125961538461539,52,41.0
2041,Pennsylvania,FH_RobertWalraven_ESG,0.029452702702702702,74,41.0
1253,Minnesota,FH_MUNI_ARIMA,-0.011951724137931038,29,41.0
1753,North Carolina,FH_USACE_ERDC_SEIR,0.1653777777777778,18,41.0
226,Arkansas,FH_OliverWyman_Navigator,-0.043477999999999996,50,41.0
815,Indiana,FH_OneQuietNight_ML,0.03238750000000001,16,41.0
283,California,FH_USACE_ERDC_SEIR,0.2081111111111111,18,41.0
2432,Utah,FH_OneQuietNight_ML,0.008812500000000008,16,41.0
1941,Oklahoma,FH_OliverWyman_Navigator,0.058258000000000004,50,41.0
1698,New York,FH_RobertWalraven_ESG,0.08613513513513514,74,41.0
2346,Texas,SIkJaun1_hyper7,0.10163870967741935,31,41.0
517,Florida,FH_MOBS_GLEAM_COVID,0.17563846153846155,39,41.0
2483,Vermont,FH_SigSci_TS,0.029327272727272716,11,41.0
781,Illinois,UMich_RidgeTfReg,0.03237857142857143,14,41.0
1649,New Mexico,FH_RobertWalraven_ESG,0.11146486486486487,74,41.0
943,Kentucky,FH_DDS_NBDS,0.1492235294117647,34,41.0
370,Connecticut,FH_MOBS_GLEAM_COVID,-0.03703589743589744,39,41.0
1210,Michigan,FH_TTU_squider,-0.05352459016393442,61,41.0
1790,North Dakota,FH_MIT_ISOLAT_Mixtures,0.11347948717948718,39,41.0
895,Kansas,FH_Google_Harvard_CPF,-0.080725,52,41.0
2094,Puerto Rico,FH_UCSB_ACTS,-0.05041666666666667,12,41.0
422,Delaware,FH_OliverWyman_Navigator,0.020440000000000003,50,41.0
1897,Ohio,FH_UCLA_SuEIR,0.08058163265306123,49,41.0
1108,Maryland,FH_OliverWyman_Navigator,0.06910200000000001,50,41.0
1843,Northern Mariana Islands,FH_OliverWyman_Navigator,-0.024139999999999998,50,41.0
2727,Wisconsin,FH_USACE_ERDC_SEIR,0.0035444444444444425,18,41.0
325,Colorado,FH_OneQuietNight_ML,-0.039325000000000006,16,41.0
1991,Oregon,FH_OneQuietNight_ML,0.0604875,16,41.0
2535,Virgin Islands,FH_UCSB_ACTS,-0.22694166666666668,12,41.0
1173,Massachusetts,UMich_RidgeTfReg,0.05372857142857144,14,41.0
2772,Wyoming,FH_TTU_squider,0.09298852459016393,61,41.0
448,District of Columbia,FH_CU_scenario_low,0.08942982456140351,57,41.0
1068,Maine,FH_UVA_Ensemble,0.04249807692307693,52,41.0
2392,United States,SIkJaun10_hyper7,0.19050645161290322,31,41.0
2130,Rhode Island,FH_LANL_GrowthRate,0.015669841269841264,63,41.0
879,Iowa,UMich_RidgeTfReg,0.020850000000000004,14,41.0
1021,Louisiana,SIkJaun10_hyper7_smooth7,0.12624838709677422,31,41.0
1484,Nevada,FH_IEM_MED_CovidProject,0.09699038461538462,52,41.0
1554,New Hampshire,FH_UCLA_SuEIR,0.03804489795918368,49,41.0
2235,South Dakota,FH_OliverWyman_Navigator,0.050808,50,41.0
2284,Tennessee,FH_OliverWyman_Navigator,0.143686,50,41.0
618,Guam,FH_OliverWyman_Navigator,0.002651999999999999,50,41.0
1314,Mississippi,SIkJaun10_hyper7,0.14068387096774193,31,41.0
161,Arizona,FH_IEM_MED_CovidProject,0.10891538461538461,52,41.0
723,Idaho,FH_UMich_RidgeTfReg,0.1408135593220339,59,41.0
1599,New Jersey,FH_OneQuietNight_ML,-0.047200000000000006,16,41.0
1373,Montana,FH_CEID_Walk,0.18528833333333333,60,41.0
1456,Nebraska,FH_UCLA_SuEIR,-0.05664285714285715,49,41.0
2202,South Carolina,UMich_RidgeTfReg,0.15968571428571426,14,41.0
577,Georgia,FH_USACE_ERDC_SEIR,0.3026444444444445,18,41.0
2663,West Virginia,FH_LANL_GrowthRate,0.13960952380952382,63,41.0
62,Alaska,FH_Google_Harvard_CPF,0.02432692307692308,52,41.0
2621,Washington,FH_OliverWyman_Navigator,-0.004763999999999993,50,41.0
652,Hawaii,FH_IowaStateLW_STEM,-0.02144,40,41.0
1346,Missouri,FH_LANL_GrowthRate,0.04986190476190476,63,41.0
598,Guam,FH_Covid19Sim_Simulator,-0.009313461538461538,52,42.0
698,Idaho,FH_DDS_NBDS,0.12412352941176472,34,42.0
2064,Puerto Rico,FH_CU_scenario_high,-0.1267725,40,42.0
965,Kentucky,FH_TTU_squider,0.10515737704918032,61,42.0
374,Connecticut,FH_OneQuietNight_ML,-0.041793750000000005,16,42.0
928,Kansas,UMich_RidgeTfReg,-0.14514285714285716,14,42.0
1798,North Dakota,FH_TTU_squider,0.0943360655737705,61,42.0
2635,Washington,SIkJaun1_hyper7_smooth7,-0.014719354838709684,31,42.0
746,Illinois,FH_CovidAnalytics_DELPHI,0.0149375,72,42.0
307,Colorado,FH_Google_Harvard_CPF,-0.044973076923076935,52,42.0
2241,South Dakota,FH_UCSB_ACTS,0.02121666666666666,12,42.0
2133,Rhode Island,FH_MIT_ISOLAT_Mixtures,-0.004666666666666674,39,42.0
552,Georgia,FH_Google_Harvard_CPF,0.29764615384615384,52,42.0
238,Arkansas,SIkJaun10_window_noval,-0.06028064516129032,31,42.0
670,Hawaii,FH_SigSci_TS,-0.029427272727272736,11,42.0
1159,Massachusetts,FH_RobertWalraven_ESG,0.02704594594594595,74,42.0
1409,Montana,FH_UMich_RidgeTfReg,0.17957796610169494,59,42.0
1839,Northern Mariana Islands,FH_MIT_ISOLAT_Mixtures,-0.025417948717948717,39,42.0
1945,Oklahoma,FH_TTU_squider,0.04579508196721311,61,42.0
10,Alabama,FH_Covid19Sim_Simulator,0.08611153846153846,52,42.0
1311,Mississippi,FH_UMich_RidgeTfReg,0.10978644067796611,59,42.0
2751,Wyoming,FH_Google_Harvard_CPF,0.06282307692307693,52,42.0
2186,South Carolina,FH_OliverWyman_Navigator,0.134538,50,42.0
2294,Tennessee,SIkJaun10_hyper7,0.13592258064516127,31,42.0
266,California,FH_KITmetricslab_select_ensemble,0.1318740740740741,27,42.0
403,Delaware,FH_CovidAnalytics_DELPHI,-0.01846666666666667,72,42.0
1549,New Hampshire,FH_OliverWyman_Navigator,-0.0004180000000000006,50,42.0
2517,Virgin Islands,FH_JHU_CSSE_DECOM,-0.25347142857142857,56,42.0
2426,Utah,FH_MIT_Cassandra,-0.02129999999999999,28,42.0
856,Iowa,FH_LANL_GrowthRate,0.006076190476190472,63,42.0
1603,New Jersey,FH_UCLA_SuEIR,-0.07415510204081632,49,42.0
1895,Ohio,FH_SigSci_TS,0.07515454545454547,11,42.0
64,Alaska,FH_IowaStateLW_STEM,0.014459999999999995,40,42.0
814,Indiana,FH_OliverWyman_Navigator,0.017136,50,42.0
1020,Louisiana,SIkJaun10_hyper7,0.09394193548387096,31,42.0
2048,Pennsylvania,FH_UVA_Ensemble,0.026161538461538465,52,42.0
2669,West Virginia,FH_Microsoft_DeepSTIA,0.13443191489361703,47,42.0
1211,Michigan,FH_UCLA_SuEIR,-0.06230612244897958,49,42.0
2493,Vermont,SIkJaun1_hyper7,-0.022451612903225813,31,42.0
2364,United States,FH_DDS_NBDS,0.17058823529411768,34,42.0
1255,Minnesota,FH_OliverWyman_Navigator,-0.022394000000000004,50,42.0
1457,Nebraska,FH_UCSB_ACTS,-0.07226666666666667,12,42.0
2553,Virginia,FH_CovidAnalytics_DELPHI,0.009733333333333335,72,42.0
1619,New Mexico,FH_COVIDhub_4_week_ensemble,0.10220000000000001,13,42.0
1990,Oregon,FH_OliverWyman_Navigator,0.042374,50,42.0
1112,Maryland,FH_TTU_squider,0.06567213114754099,61,42.0
456,District of Columbia,FH_IowaStateLW_STEM,0.04128750000000001,40,42.0
2712,Wisconsin,FH_LANL_GrowthRate,0.001455555555555554,63,42.0
1691,New York,FH_MIT_Cassandra,0.043782142857142846,28,42.0
2347,Texas,SIkJaun1_hyper7_smooth7,0.0899516129032258,31,42.0
168,Arizona,FH_KITmetricslab_select_ensemble,0.10595925925925925,27,42.0
513,Florida,FH_LANL_GrowthRate,0.1639888888888889,63,42.0
1033,Maine,FH_COVIDhub_trained_ensemble,0.03563333333333334,30,42.0
1500,Nevada,FH_OliverWyman_Navigator,0.09689400000000001,50,42.0
1371,Missouri,ensemble_SIkJa_RF,0.04744,30,42.0
1747,North Carolina,FH_RobertWalraven_ESG,0.12331351351351351,74,42.0
1014,Louisiana,FH_TTU_squider,0.0923655737704918,61,43.0
2288,Tennessee,FH_TTU_squider,0.12715901639344263,61,43.0
2482,Vermont,FH_RobertWalraven_ESG,-0.03192702702702703,74,43.0
166,Arizona,FH_JHU_IDD_CovidSP,0.09287777777777778,63,43.0
1900,Ohio,FH_USACE_ERDC_SEIR,0.06084444444444445,18,43.0
2438,Utah,FH_UMich_RidgeTfReg,-0.027322033898305082,59,43.0
2077,Puerto Rico,FH_JHU_IDD_CovidSP,-0.16974126984126983,63,43.0
230,Arkansas,FH_TTU_squider,-0.06763278688524589,61,43.0
1502,Nevada,FH_RobertWalraven_ESG,0.08308108108108107,74,43.0
2768,Wyoming,FH_OliverWyman_Navigator,0.06228999999999999,50,43.0
954,Kentucky,FH_LANL_GrowthRate,0.10218253968253968,63,43.0
1949,Oklahoma,FH_USACE_ERDC_SEIR,0.021766666666666674,18,43.0
2034,Pennsylvania,FH_MIT_Cassandra,0.02544642857142857,28,43.0
1444,Nebraska,FH_LANL_GrowthRate,-0.07986031746031746,63,43.0
301,Colorado,FH_CU_scenario_low,-0.04898421052631579,57,43.0
1063,Maine,FH_TTU_squider,-0.020101639344262297,61,43.0
373,Connecticut,FH_OliverWyman_Navigator,-0.049254,50,43.0
656,Hawaii,FH_JHU_IDD_CovidSP,-0.04397619047619048,63,43.0
918,Kansas,FH_UCSB_ACTS,-0.15833333333333333,12,43.0
1973,Oregon,FH_Google_Harvard_CPF,0.03278846153846154,52,43.0
2575,Virginia,FH_SigSci_TS,-0.011545454545454546,11,43.0
2604,Washington,FH_Google_Harvard_CPF,-0.014819230769230779,52,43.0
451,District of Columbia,FH_Covid19Sim_Simulator,0.019996153846153848,52,43.0
1789,North Dakota,FH_MIT_Cassandra,0.08598214285714287,28,43.0
247,California,FH_COVIDhub_4_week_ensemble,0.1231076923076923,13,43.0
11,Alabama,FH_CovidAnalytics_DELPHI,0.07993611111111112,72,43.0
820,Indiana,FH_UCSB_ACTS,0.00031666666666664106,12,43.0
1257,Minnesota,FH_RobertWalraven_ESG,-0.04103918918918918,74,43.0
1740,North Carolina,FH_MIT_Cassandra,0.10825357142857144,28,43.0
1701,New York,FH_UCLA_SuEIR,0.014163265306122455,49,43.0
569,Georgia,FH_OliverWyman_Navigator,0.214664,50,43.0
1348,Missouri,FH_MIT_Cassandra,0.021339285714285724,28,43.0
2194,South Carolina,FH_USACE_ERDC_SEIR,0.08027222222222223,18,43.0
2345,Texas,SIkJaun10_window_noval,0.062496774193548384,31,43.0
2674,West Virginia,FH_TTU_squider,0.11881311475409836,61,43.0
770,Illinois,FH_UCLA_SuEIR,0.014681632653061234,49,43.0
534,Florida,SIkJaun1_hyper7_smooth7,0.15790322580645164,31,43.0
1665,New Mexico,ensemble_SIkJa_RF,0.10001,30,43.0
1309,Mississippi,FH_UCLA_SuEIR,0.10346122448979593,49,43.0
2385,United States,FH_SigSci_TS,0.15092727272727274,11,43.0
2722,Wisconsin,FH_SigSci_TS,-0.023709090909090912,11,43.0
60,Alaska,FH_CovidAnalytics_DELPHI,-0.03575694444444444,72,43.0
1852,Northern Mariana Islands,FH_UVA_Ensemble,-0.03292115384615384,52,43.0
1115,Maryland,FH_UMich_RidgeTfReg,0.049666101694915255,59,43.0
1598,New Jersey,FH_OliverWyman_Navigator,-0.08975799999999999,50,43.0
1150,Massachusetts,FH_LANL_GrowthRate,-0.05522539682539682,63,43.0
868,Iowa,FH_UCLA_SuEIR,-0.014379591836734698,49,43.0
2231,South Dakota,FH_MIT_ISOLAT_Mixtures,-0.010548717948717952,39,43.0
1201,Michigan,FH_MIT_Cassandra,-0.10156785714285714,28,43.0
705,Idaho,FH_JHU_IDD_CovidSP,0.1166,63,43.0
2122,Rhode Island,FH_IowaStateLW_STEM,-0.015290000000000002,40,43.0
438,Delaware,UMich_RidgeTfReg,-0.02175,14,43.0
1408,Montana,FH_UCSB_ACTS,0.16964166666666666,12,43.0
1551,New Hampshire,FH_RobertWalraven_ESG,-0.00128513513513513,74,43.0
615,Guam,FH_MOBS_GLEAM_COVID,-0.02029230769230769,39,43.0
2488,Vermont,FH_USACE_ERDC_SEIR,-0.03683888888888889,18,44.0
30,Alabama,FH_OliverWyman_Navigator,0.072938,50,44.0
2675,West Virginia,FH_UCLA_SuEIR,0.09043469387755103,49,44.0
407,Delaware,FH_IowaStateLW_STEM,-0.05763750000000001,40,44.0
387,Connecticut,SIkJaun1_hyper7_smooth7,-0.0556516129032258,31,44.0
2576,Virginia,FH_TTU_squider,-0.08434426229508198,61,44.0
893,Kansas,FH_CovidAnalytics_DELPHI,-0.1659263888888889,72,44.0
621,Guam,FH_SigSci_TS,-0.026836363636363627,11,44.0
328,Colorado,FH_TTU_squider,-0.09840655737704918,61,44.0
279,California,FH_TTU_squider,0.08667868852459018,61,44.0
758,Illinois,FH_LANL_GrowthRate,-0.009780952380952378,63,44.0
504,Florida,FH_IEM_MED_CovidProject,0.15245192307692307,52,44.0
818,Indiana,FH_TTU_squider,-0.06274918032786886,61,44.0
583,Georgia,SIkJaun1_hyper7_smooth7,0.18870967741935482,31,44.0
711,Idaho,FH_MIT_Cassandra,0.08148928571428572,28,44.0
946,Kentucky,FH_IowaStateLW_STEM,0.036410000000000005,40,44.0
2606,Washington,FH_IowaStateLW_STEM,-0.03171999999999999,40,44.0
844,Iowa,FH_CovidAnalytics_DELPHI,-0.051256944444444445,72,44.0
2724,Wisconsin,FH_UCLA_SuEIR,-0.0419,49,44.0
2761,Wyoming,FH_LANL_GrowthRate,0.05364761904761905,63,44.0
683,Hawaii,UMich_RidgeTfReg,-0.08102142857142858,14,44.0
469,District of Columbia,FH_MUNI_ARIMA,0.009348275862068963,29,44.0
206,Arkansas,FH_Covid19Sim_Simulator,-0.07480769230769231,52,44.0
2224,South Dakota,FH_JHU_IDD_CovidSP,-0.03447619047619048,63,44.0
2447,Utah,UMich_RidgeTfReg,-0.08168571428571426,14,44.0
2190,South Carolina,FH_TTU_squider,0.07747540983606557,61,44.0
1888,Ohio,FH_MIT_ISOLAT_Mixtures,0.03465641025641025,39,44.0
1642,New Mexico,FH_MIT_Cassandra,0.09907500000000001,28,44.0
1093,Maryland,FH_IowaStateLW_STEM,0.0387575,40,44.0
1248,Minnesota,FH_LANL_GrowthRate,-0.05514603174603175,63,44.0
1861,Northern Mariana Islands,ensemble_SIkJa_RF,-0.04591666666666667,30,44.0
1668,New York,FH_COVIDhub_4_week_ensemble,0.011607692307692298,13,44.0
173,Arizona,FH_MIT_ISOLAT_Mixtures,0.08997179487179488,39,44.0
1797,North Dakota,FH_SigSci_TS,0.06159090909090909,11,44.0
74,Alaska,FH_MIT_Cassandra,-0.0948642857142857,28,44.0
2132,Rhode Island,FH_MIT_Cassandra,-0.019671428571428572,28,44.0
1395,Montana,FH_LANL_GrowthRate,0.16353015873015875,63,44.0
1578,New Jersey,FH_Covid19Sim_Simulator,-0.11157115384615383,52,44.0
1757,North Carolina,SIkJaun10_window_noval,0.09795483870967743,31,44.0
1506,Nevada,FH_UCSB_ACTS,0.04923333333333333,12,44.0
1164,Massachusetts,FH_UMich_RidgeTfReg,-0.06486610169491525,59,44.0
1055,Maine,FH_MIT_ISOLAT_Mixtures,-0.1061948717948718,39,44.0
1943,Oklahoma,FH_RobertWalraven_ESG,-0.048871621621621626,74,44.0
2366,United States,FH_IEM_MED_CovidProject,0.1375423076923077,52,44.0
2304,Texas,FH_CEID_Walk,0.019866666666666668,60,44.0
2043,Pennsylvania,FH_TTU_squider,0.012286885245901638,61,44.0
1557,New Hampshire,FH_USACE_ERDC_SEIR,-0.0013944444444444512,18,44.0
